note_number,chapter,subject,status,source,image_url,local_path,width,height
1,Acte I,Marquis de Sade,OK,wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Marquis_de_sade.jpg/1280px-Marquis_de_sade.jpg,iconographie/note_001_marquis-de-sade.jpg,1280,1277
2,Acte I,Hydre de Lerne,OK,wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Douze_Travaux_d%27Hercule%2C_Les%2C_Emile_Cohl%2C_1910%2C_hydre_de_Lerne.png/1280px-Douze_Travaux_d%27Hercule%2C_Les%2C_Emile_Cohl%2C_1910%2C_hydre_de_Lerne.png,iconographie/note_002_hydre-de-lerne.jpg,1280,720
3,Acte I,Alien,OK,wikimedia,https://upload.wikimedia.org/wikipedia/commons/4/4e/Ambigram_Real_world_Prank_Fake_Alien_animated_%281%29.gif,iconographie/note_003_alien.jpg,1000,1000
4,Acte I,Smaug,OK,wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Smaug_par_David_Demaret.jpg/1280px-Smaug_par_David_Demaret.jpg,iconographie/note_004_smaug.jpg,1280,824
5,Acte I,Godzilla,OK,wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Godzilla_%281954%29.jpg/1280px-Godzilla_%281954%29.jpg,iconographie/note_005_godzilla.jpg,1280,989
6,Acte I,David Livingstone,OK,wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/David_Livingstone_by_Thomas_Annan.jpg/1280px-David_Livingstone_by_Thomas_Annan.jpg,iconographie/note_006_david-livingstone.jpg,1280,1565
7,Acte I,Jonathan Livingston le goéland,OK,wikimedia,https://upload.wikimedia.org/wikipedia/commons/d/d6/Jonathan_Livingston_Seagull_figure.jpg,iconographie/note_007_jonathan-livingston-le-goeland.jpg,600,434
8,Acte I,"Le Français 6,35mm",FAILED,,,,,
9,Acte I,Thomas Jefferson,OK,wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Mural_in_Northeast_Pavilion%2C_Thomas_Jefferson_Building%2C_Washington_D.C.%2C_by_Elmer_E._Garnsey_11670u_edit.jpg/1280px-Mural_in_Northeast_Pavilion%2C_Thomas_Jefferson_Building%2C_Washington_D.C.%2C_by_Elmer_E._Garnsey_11670u_edit.jpg,iconographie/note_009_thomas-jefferson.jpg,1280,966
10,Acte I,Alexander von Humboldt,OK,wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Alexander_von_Humboldt_%28empty%29.jpg/1280px-Alexander_von_Humboldt_%28empty%29.jpg,iconographie/note_010_alexander-von-humboldt.jpg,1280,960
11,Acte I,George Washington,OK,wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/George_Washington_Carver_c1910_-_Restoration.jpg/1280px-George_Washington_Carver_c1910_-_Restoration.jpg,iconographie/note_011_george-washington.jpg,1280,1602
12,Acte I,John Adams,OK,wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/ADAMS%2CJohn-President_%28BEP_engraved_portrait%29.jpg/1280px-ADAMS%2CJohn-President_%28BEP_engraved_portrait%29.jpg,iconographie/note_012_john-adams.jpg,1280,1481
13,Acte I,Condorcet,OK,wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Fa%C3%A7ade_du_lyc%C3%A9e_Condorcet%2C_Paris_12_mars_2014.jpg/1280px-Fa%C3%A7ade_du_lyc%C3%A9e_Condorcet%2C_Paris_12_mars_2014.jpg,iconographie/note_013_condorcet.jpg,1280,850
14,Acte I,Jean le Rond d'Alembert,OK,wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Jean_Le_Rond_d%27Alembert%2C_by_French_school.jpg/1280px-Jean_Le_Rond_d%27Alembert%2C_by_French_school.jpg,iconographie/note_014_jean-le-rond-d-alembert.jpg,1280,1582
15,Acte I,Sally Hemings,OK,wikimedia,https://upload.wikimedia.org/wikipedia/commons/8/89/SallyHemings1804.jpg,iconographie/note_015_sally-hemings.jpg,363,454
16,Acte I,Arturo Fuente,OK,wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Dresco%2C_Arturo_-_Fuente_de_los_ninos_-20171204_fRF02.jpg/1280px-Dresco%2C_Arturo_-_Fuente_de_los_ninos_-20171204_fRF02.jpg,iconographie/note_016_arturo-fuente.jpg,1280,1752
17,Acte II,Partition of Bengal,OK,wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Bengal_partition_1947.jpg/1280px-Bengal_partition_1947.jpg,iconographie/note_017_partition-of-bengal.jpg,1280,977
18,Acte II,Marthe Richard,OK,wikimedia,https://upload.wikimedia.org/wikipedia/commons/4/4a/Marthe_Richard_en_1915_%281%29.jpg,iconographie/note_018_marthe-richard.jpg,615,776
